words,scoring
tares,2.9888336304776204
lares,2.98029464201933
rales,2.9554283569484845
nares,2.9356291639298115
dares,2.9327202777517125
rates,2.925682649901473
pares,2.907853992680867
tales,2.9038190860467297
cares,2.899033499108567
aeros,2.898001313690532
mares,2.8963122830064747
toeas,2.881392511963967
bares,2.8809233367739515
lanes,2.8778267805198463
aloes,2.8662850708454535
gares,2.8597166181852303
hares,2.853617340715023
tores,2.8509899596509336
dales,2.8477057333208218
aures,2.8433893215726753
lores,2.842450971192643
arles,2.8416064558506147
reais,2.8399174251665573
teras,2.832035281974289
earls,2.8247161490100403
pales,2.8228394482499763
rapes,2.8212442526039223
nates,2.8208689124519095
dates,2.8179600262738105
roles,2.8175846861217977
races,2.814581964905696
laers,2.814018954677677
fares,2.8119545838416062
males,2.811297738575584
panes,2.805386131181383
kaies,2.8009758843952333
lades,2.8002252040912077
rones,2.8001313690532044
earns,2.7986300084451536
canes,2.796565637609083
bales,2.795908792343061
wares,2.7957211222670546
dores,2.7948766069250257
manes,2.7938444215069906
pates,2.793093741202965
aeons,2.7921553908229333
rages,2.790466360138876
tears,2.7898095148728537
reals,2.788401989302806
rotes,2.7878389790747864
cates,2.784273247630665
tames,2.7838979074786527
rakes,2.7834287322886366
mates,2.7815520315285727
lears,2.781270526414563
banes,2.7784554752744675
aides,2.778173970160458
lames,2.7753589190203622
gales,2.77470207375434
yales,2.7716993525382376
pores,2.7700103218541803
tapes,2.7696349817021675
taels,2.769541146664164
hales,2.7686027962841324
bates,2.7661630852960495
toles,2.7659754152200433
taces,2.762972694003941
reans,2.7623158487379187
cores,2.7611898282818803
mores,2.758468612179788
kales,2.755465890963686
vares,2.75499671577367
laces,2.754433705545651
braes,2.75030496387351
eards,2.7497419536454912
tones,2.7485220981514495
gates,2.7449563667073287
bores,2.7430796659472647
yates,2.7419536454912263
aunes,2.7409214600731913
hates,2.738857089237121
roues,2.7385755841231116
tabes,2.738294079009102
kanes,2.7380125738950922
teals,2.736792718401051
nears,2.7366050483250444
ayres,2.7356666979450126
tires,2.735385192831003
rares,2.7346345125269775
leats,2.7342591723749647
dears,2.7336961621469458
takes,2.731819461386882
names,2.7306934409308434
apres,2.7286290700947733
dames,2.727784554752745
lotes,2.7276907197147415
lakes,2.7232804729285913
rodes,2.722529792624566
gores,2.7218729473585435
soare,2.720183916674486
cades,2.718964061180445
yores,2.7188702261424416
oaves,2.717744205686403
napes,2.7164305151543586
acres,2.7159613399643425
reads,2.7134277939382567
arets,2.7133339589002534
sales,2.713052453786244
noles,2.712770948672234
wales,2.710706577836164
doles,2.7098620624941354
fanes,2.7094867223421226
pears,2.7088298770761003
toras,2.708736042038097
daces,2.706859341278033
raves,2.706202496012011
kores,2.7026367645678895
leans,2.702167589377874
riles,2.701979919301867
fates,2.6971943323637046
sanes,2.69559913671765
claes,2.695036126489631
cames,2.6940977761095994
wanes,2.6932532607675705
oases,2.691564230083513
antes,2.6901567045134653
taros,2.6896875293234492
neats,2.6895936942854464
sared,2.689499859247443
amies,2.687998498639392
eorls,2.6868724781833535
razes,2.6867786431453506
nabes,2.685089612461293
poles,2.68499577742329
rines,2.684526602233274
neals,2.683588251853242
ropes,2.6834005817772355
sates,2.6833067467392326
notes,2.6830252416252227
paces,2.6819930562071876
orles,2.6818992211691848
bears,2.6818992211691848
deals,2.680679365675143
dotes,2.680116355447124
rases,2.680022520409121
capes,2.679834850333114
gades,2.679647180257108
blaes,2.6769259641550156
coles,2.67617528385099
fores,2.67411091301492
hades,2.6735479027869005
moles,2.6734540677488976
raxes,2.6724218823308625
rites,2.672234212254856
reaps,2.6719527071408464
maces,2.6704513465327953
vales,2.6699821713427796
reams,2.6695129961527635
pones,2.6675424603546967
rajes,2.666322604860655
pelas,2.6660410997466455
tries,2.664258234024585
lodes,2.662381533264521
teads,2.661818523036502
peats,2.661818523036502
baels,2.6616308529604953
gears,2.6606925025804635
kades,2.660410997466454
sores,2.6602233273904474
cones,2.6587219667823967
boles,2.6580651215163744
pages,2.657877451440368
years,2.6576897813643616
peals,2.6558130806042977
potes,2.6552500703762787
games,2.6547808951862626
deans,2.654593225110256
hears,2.654593225110256
melas,2.654499390072253
leads,2.6532795345782114
vanes,2.652528854274186
robes,2.65205967908417
abies,2.650558318476119
tiles,2.6503706484001124
meats,2.6502768133621095
bayes,2.6499953082481
cages,2.649056957868068
hames,2.648681617716055
almes,2.6483062775640422
cotes,2.6464295768039787
mages,2.6463357417659754
tomes,2.646054236651966
laves,2.646054236651966
reaks,2.6459604016139626
mabes,2.6457727315379564
rotas,2.64558506146195
cires,2.64558506146195
rokes,2.64558506146195
meals,2.6442713709299053
motes,2.6437083607018863
mires,2.6428638453598574
cakes,2.6420193300178285
bones,2.6406118044477807
gapes,2.640517969409778
haets,2.640330299333771
laris,2.639861124143755
makes,2.639298113915736
roans,2.6390166088017266
rohes,2.638735103687717
lomes,2.6375152481936754
ureas,2.6373275781176693
goles,2.636858402927653
kames,2.6355447123956086
beats,2.6348878671295863
tates,2.633292671483532
tines,2.632917331331519
fades,2.631885145913484
topes,2.6317913108754807
holes,2.6307591254574456
salet,2.63028995026743
peans,2.6297269400394105
beals,2.628882424697382
doers,2.6286009195833726
tases,2.628413249507366
botes,2.6283194144693627
lazes,2.6266303837853053
ratos,2.626536548747302
janes,2.624941353101248
zoeas,2.6246598479872385
lines,2.624378342873229
renos,2.6242845078352257
bakes,2.623909167683213
tolas,2.6237214976072067
lopes,2.6232523224171906
eales,2.6222201369991556
taxes,2.6208126114291077
lases,2.6198742610490755
deros,2.619029745707047
means,2.618185230365018
sades,2.617997560289012
teams,2.6179037252510087
nodes,2.6177160551750025
moras,2.6162146945669513
wades,2.6156516843389324
raits,2.6149948390729096
tajes,2.6147133339589
geats,2.613681148540865
acnes,2.613493478464859
hones,2.6133058083888523
fears,2.6129304682368395
tepas,2.6128366331988366
laxes,2.612273622970817
lites,2.612085952894811
lures,2.6119921178568077
leaps,2.6118044477808016
taser,2.6094585718307215
leams,2.609364736792718
betas,2.609364736792718
rails,2.608989396640706
dries,2.608144881298677
geals,2.607675706108661
heats,2.607581871070658
fames,2.6070188608426386
rides,2.6069250258046353
yages,2.606737355728629
aegis,2.606737355728629
ables,2.6050483250445717
beans,2.602796284132495
lairs,2.601857933752463
heals,2.6015764286384537
naves,2.601388758562447
toges,2.6010134184104343
laser,2.6009195833724315
boras,2.600825748334428
genas,2.6004504081824154
hires,2.600168903068406
sears,2.5990428826123675
eyras,2.598386037346345
ranis,2.5975415220043163
rores,2.5967908417002907
wears,2.596697006662288
hakes,2.5966031716242846
naris,2.5951956460542367
elans,2.5946326358262177
moues,2.594444965750211
teaks,2.594351130712208
slaes,2.5940696255981983
tokes,2.593975790560195
cafes,2.5935066153701793
sames,2.5931312752181666
nomes,2.592849770104157
iotas,2.5927559350661538
loges,2.5924744299521443
daris,2.5922867598761377
moers,2.5921929248381343
lobes,2.591911419724125
wames,2.5907853992680865
telos,2.590128554002064
roads,2.590128554002064
domes,2.589940883926058
serai,2.5882518532420007
getas,2.5881580182039974
leirs,2.5873135028619685
rules,2.5871258327859623
saned,2.587031997747959
faces,2.5860936473679272
leaks,2.5858121422539178
lotas,2.585436802101905
lokes,2.585436802101905
ceros,2.5853429670639017
saine,2.584967626911889
liras,2.584592286759876
pries,2.5832785962278315
rheas,2.583184761189828
rains,2.5829032560758187
rimes,2.58205874073379
nazes,2.581964905695787
geans,2.581589565543774
codes,2.581120390353758
pleas,2.5798066998217135
twaes,2.579619029745707
goras,2.579619029745707
dazes,2.579056019517688
loans,2.5788683494416813
yeans,2.578586844327672
noels,2.578493009289669
modes,2.5783991742516656
dines,2.576803978605611
dopes,2.5756779581495732
soles,2.575208782959557
vades,2.5749272778455476
sated,2.574739607769541
cries,2.5744581026555315
etnas,2.5738950924275126
nemas,2.5738950924275126
paves,2.5736135873135026
horas,2.5735197522755
airts,2.572299896781458
fones,2.571643051515436
rased,2.5714553814394296
sorel,2.571080041287417
tarns,2.5707985361734074
runes,2.569672515717369
piles,2.5693910106033595
meads,2.569297175565356
tiers,2.5691095054893496
ketas,2.5689218354133434
reins,2.568358825185324
roves,2.568358825185324
ripes,2.567795814957305
riels,2.5677019799193017
nites,2.5674204748052922
paris,2.5674204748052922
neaps,2.5671389696912827
noyes,2.5668574645772733
arses,2.566200619311251
feats,2.565919114197241
pomes,2.5650745988552126
caves,2.564793093741203
dites,2.564511588627193
dures,2.5644177535891903
lenos,2.564136248475181
doats,2.5633855681711553
ideas,2.563291733133152
bodes,2.5630102280191425
apers,2.56235338275312
larns,2.562259547715117
rices,2.5611335272590785
liers,2.5605705170310595
koras,2.560382846955053
feals,2.5599136717650373
boars,2.5585999812329923
fires,2.5585061461949894
miles,2.5578493009289667
sones,2.557755465890964
tails,2.557380125738951
poets,2.5567232804729287
bries,2.556347940320916
soler,2.5562541052829126
comes,2.5562541052829126
terns,2.5562541052829126
paseo,2.5561602702449093
goers,2.5555972600168904
tides,2.555315754902881
fakes,2.554940414750868
haros,2.554471239560852
beads,2.553908229332833
peris,2.552876043914798
seral,2.5521253636107724
rants,2.552031528572769
seats,2.552031528572769
pines,2.5519376935347657
sored,2.5516561884207563
tiars,2.5509055081167307
donas,2.550154827812705
acers,2.5496856526226894
hoers,2.549497982546683
rials,2.549497982546683
euros,2.5492164774326733
sayer,2.5481842920146383
sages,2.548090456976635
sabes,2.547527446748616
pases,2.5474336117106127
jades,2.5473397766726094
darts,2.5467767664445904
redos,2.546682931406587
roams,2.5462137562165714
seals,2.546026086140565
wages,2.5457445810265553
doges,2.5449000656845264
sires,2.544618560570517
beaus,2.544618560570517
dobes,2.5443370554565075
ajies,2.5437740452284885
weals,2.543680210190485
cines,2.5431171999624658
teils,2.5428356948484563
mazes,2.54264802477245
biles,2.5424603546964435
liars,2.5423665196584406
wires,2.5422726846204373
roses,2.542178849582434
copes,2.541991179506428
lowes,2.5417096743924183
karos,2.5413343342404056
meris,2.5413343342404056
sakes,2.5410528291263956
fetas,2.5403959838603734
mines,2.5403959838603734
airns,2.540208313784367
heros,2.5399268086703577
froes,2.5399268086703577
paxes,2.5398329736323544
trues,2.539739138594351
pures,2.539551468518345
mopes,2.539269963404335
senas,2.5388007882143193
wakes,2.538706953176316
cases,2.5386131181383127
toads,2.53851928310031
rents,2.5374870976822748
ribes,2.5364549122642392
mases,2.5358919020362203
vapes,2.535798066998217
rears,2.535610396922211
tules,2.5355165618842075
nerts,2.5351412217321947
delos,2.5340152012761563
raids,2.5340152012761563
colas,2.5339213662381534
papes,2.533639861124144
saree,2.5330768508961246
voles,2.532138500516093
tains,2.531293985174064
hoars,2.531293985174064
molas,2.5312001501360606
cites,2.5308248099840482
cures,2.530730974946045
times,2.5304494698320354
loads,2.5299802946420193
boets,2.529792624566013
yeads,2.52969878952801
coats,2.52969878952801
pairs,2.5294172844140004
orals,2.5294172844140004
sager,2.5291357792999904
ogres,2.5290419442619876
saber,2.5285727690719715
maxes,2.528291263957962
mites,2.5281035938819554
mures,2.5280097588439525
moats,2.5269775734259174
keros,2.526789903349911
heads,2.5266022332739047
degas,2.525945388007882
bines,2.52500703762785
agues,2.5247255325138407
wetas,2.5241625222858217
leafs,2.523881017171812
abers,2.523787182133809
coals,2.5236933470958056
lenis,2.5228488317537767
james,2.522473491601764
agers,2.522473491601764
solei,2.5221919864877544
saker,2.522098151449751
parts,2.521910481373745
limes,2.521910481373745
bases,2.520502955803697
seans,2.519939945575678
tased,2.519846110537675
haves,2.5193769353476587
garis,2.5192831003096554
bemas,2.5191892652716525
datos,2.5188139251196398
tunes,2.518063244815614
soras,2.517969409777611
mairs,2.517875574739608
weans,2.517594069625598
maser,2.516937224359576
teins,2.5167495542835696
bolas,2.5158112039035374
haems,2.5154358637515246
stoae,2.5152481936755184
calos,2.5148728535235056
darns,2.5146851834474995
monas,2.5137468330674673
lards,2.5133714929154545
peaks,2.5133714929154545
rhies,2.5132776578774516
carts,2.513089987801445
pokes,2.5129961527634417
tyres,2.5128084826874355
faros,2.5128084826874355
bites,2.512714647649432
boats,2.511588627193394
lased,2.5113071220793843
acmes,2.511025616965375
homes,2.5108379468893687
marts,2.5103687716993526
beams,2.50999343154734
plies,2.5098995965093365
tices,2.5095242563573237
lunes,2.5095242563573237
salep,2.508585905977292
japes,2.508210565825279
loves,2.508210565825279
mobes,2.5079290607112696
aedes,2.50764755559726
lipes,2.50764755559726
repos,2.507553720559257
peags,2.5074598855212535
perts,2.5073660504832502
dalis,2.5072722154452474
carls,2.5070845453692407
gazes,2.5060523599512057
joles,2.504550999343155
marls,2.5043633292671483
lyres,2.504269494229145
nails,2.504175659191142
cokes,2.504175659191142
babes,2.504081824153139
samel,2.5039879891151355
veals,2.5029558036971005
auris,2.5029558036971005
goels,2.5025804635450877
votes,2.5023927934690815
strae,2.502205123393075
sarge,2.502205123393075
nides,2.5021112883550716
teats,2.5020174533170687
loris,2.5020174533170687
baser,2.5015482781270526
vires,2.5015482781270526
mokes,2.5014544430890493
clies,2.5010791029370365
pebas,2.5005160927090175
axles,2.500234587595008
derns,2.5001407525570047
hazes,2.4999530824809986
gases,2.4992962372149763
saros,2.4989208970629635
certs,2.4985455569109507
alecs,2.497794876606925
tozes,2.497325701416909
lutes,2.4972318663789057
hopes,2.4965750211128834
nelis,2.4956366707328517
totes,2.495449000656845
lomas,2.495261330580839
arils,2.4951674955428356
ramis,2.4950736605048327
moans,2.494885990428826
manos,2.49469832035282
proas,2.4935722998967815
delis,2.4927277845547526
safes,2.4925401144787465
rudes,2.4920709392887304
lants,2.491883269212724
zones,2.491789434174721
gites,2.4915079290607114
tinas,2.4906634137186825
toses,2.490569578680679
goats,2.490381908604673
merls,2.489818898376654
levas,2.4892558881486346
yites,2.488505207844609
peons,2.488317537768603
owres,2.488317537768603
piers,2.4881298676925963
fries,2.487379187388571
jones,2.487097682274561
areas,2.4868161771605517
deils,2.4867223421225484
beaks,2.486440837008539
botas,2.486065496856526
bokes,2.486065496856526
loams,2.486065496856526
samen,2.4856901567045133
tiges,2.485408651590504
heaps,2.4851271464764944
gages,2.4846579712864783
kines,2.4845641362484754
goals,2.4843764661724688
satem,2.4841887960964626
eidos,2.484001126020456
fleas,2.4839072909824527
koels,2.4833442807544337
palis,2.482405930374402
amens,2.482124425260392
loses,2.482030590222389
weros,2.482030590222389
liens,2.4814675799943697
jeats,2.481373744956367
salue,2.4812799099183636
gairs,2.4812799099183636
carns,2.480998404804354
gaols,2.4808107347283475
natis,2.4804353945763347
tarps,2.4804353945763347
zeals,2.480060054424322
hajes,2.479497044196303
dules,2.4794032091582996
aidos,2.479027869006287
oners,2.478934033968284
sawer,2.4783710237402645
tikes,2.4783710237402645
praos,2.478089518626255
carse,2.477901848550249
faves,2.4777141784742422
aesir,2.4773388383222295
regos,2.4767758280942105
abets,2.4767758280942105
pails,2.4764004879421977
soars,2.4757436426761754
kolas,2.4753683025241626
perns,2.4752744674861593
denis,2.4752744674861593
hairs,2.475180632448156
marse,2.475180632448156
saice,2.4748991273341465
riads,2.4745237871821337
loxes,2.4744299521441304
dimes,2.4743361171061276
olpes,2.4743361171061276
laids,2.4738669419161115
files,2.4734916017640987
nones,2.4722717462700574
kites,2.4722717462700574
tians,2.4718025710800413
artis,2.4714272309280285
wries,2.471145725814019
roils,2.471145725814019
rands,2.4710518907760157
malis,2.4708642207000096
jakes,2.4703950455099934
easts,2.47030121047199
litas,2.4698320352819745
likes,2.4698320352819745
spaes,2.4694566951299617
halos,2.4694566951299617
fomes,2.4691751900159518
nards,2.468706014825936
earst,2.4683306746739233
samey,2.467767664445904
harts,2.467673829407901
rumes,2.467204654217885
coeds,2.4669231491038754
soled,2.466641643989866
raiks,2.4665478089518627
floes,2.4665478089518627
diets,2.4659847987238437
cides,2.4655156235338276
mails,2.4648587782678053
teres,2.4648587782678053
texas,2.4640142629257764
loirs,2.4640142629257764
saves,2.4638265928497702
tacos,2.4638265928497702
deaws,2.4635450877357608
terms,2.4634512526977574
barns,2.462888242469738
uraos,2.4622313972037158
dunes,2.4619498920897063
yokes,2.461856057051703
dalts,2.4617622220137
harls,2.461668386975697
waves,2.46148071689969
orfes,2.4613868818616873
biers,2.4611992117856807
heirs,2.4606362015576617
doves,2.4606362015576617
zetas,2.4605423665196584
diels,2.4599793562916394
siles,2.4596040161396266
roset,2.45941634606362
aulos,2.459228675987614
abyes,2.4591348409496105
hokes,2.4587595007975978
togas,2.4587595007975978
sayed,2.4585718307215916
rauns,2.458384160645585
fazes,2.4582903256075817
arsed,2.4576334803415594
saris,2.4576334803415594
noris,2.45735197522755
lerps,2.45735197522755
wiles,2.4572581401895466
rends,2.4565074598855214
leres,2.456319789809515
fines,2.4560382846955053
baits,2.4554752744674864
helos,2.454912264239467
pules,2.454536924087454
karts,2.454536924087454
doris,2.454443089049451
nerds,2.4541615839354414
dices,2.453410903631416
manis,2.453410903631416
sabre,2.453035563479403
ceils,2.453035563479403
rives,2.4527540583653935
sloes,2.4526602233273906
aches,2.4520972130993712
reiks,2.452003378061368
nomas,2.45059585249132
spaer,2.450502017453317
penis,2.450408182415314
pains,2.4503143473773106
ragis,2.450032842263301
crues,2.449939007225298
ratus,2.449469832035282
bails,2.449469832035282
rabis,2.449469832035282
jeans,2.4492821619592755
owies,2.44881298676926
riems,2.44881298676926
idles,2.4478746363892276
keirs,2.447499296237215
bides,2.447405461199212
rotis,2.447405461199212
paise,2.4472177911232054
delts,2.4472177911232054
herls,2.447123956085202
yeahs,2.4467486159331893
larks,2.445904100591161
avers,2.4456225954771513
roins,2.445059585249132
saver,2.4448719151731257
sazes,2.4444027399831096
dants,2.4443089049451063
ogles,2.444027399831097
faxes,2.4439335647930935
tamis,2.443464389603078
rakis,2.4429952144130618
mules,2.4429952144130618
bowes,2.4423383691470395
sines,2.4421506990710333
dials,2.4417753589190205
devas,2.4416815238810172
cains,2.4414938538050106
dozes,2.441212348691001
piets,2.441118513652998
pards,2.4409308435769916
arsey,2.4408370085389883
siler,2.440649338462982
resat,2.4404616683869755
trans,2.440180163272966
wines,2.4398048231209533
altos,2.4393356479309376
koans,2.4390541428169277
sabed,2.438960307778925
codas,2.4388664727409215
mains,2.438772637702918
yarns,2.438678802664915
ouens,2.4383034625129025
noses,2.4373651121328703
setal,2.4373651121328703
foals,2.4366144318288447
tiros,2.436239091676832
sired,2.4360514216008258
peins,2.4357699164868163
maise,2.435676081448813
harns,2.4355822464108097
kaons,2.435488411372807
wases,2.4353007412968
doses,2.4344562259547713
soces,2.4343623909167684
gaits,2.434268555878765
sorta,2.434268555878765
rosed,2.433611710612743
fairs,2.4335178755747395
dopas,2.433424040536736
doeks,2.4331425354227267
solas,2.4329548653467206
voars,2.432673360232711
crias,2.432204185042695
cards,2.4321103500046917
reast,2.4320165149666884
ludes,2.4319226799286855
pyres,2.431828844890682
poems,2.431828844890682
aster,2.43117199962466
enols,2.4309843295486533
cased,2.4300459791686215
saxes,2.4300459791686215
sites,2.4298583090926154
torse,2.4298583090926154
dents,2.429764474054612
sures,2.429764474054612
noxes,2.429764474054612
daurs,2.429764474054612
alefs,2.4295768039786054
autos,2.4294829689406026
tapis,2.4292014638265926
soral,2.4288261236745803
breis,2.4280754433705547
serac,2.427793938256545
waxes,2.427700103218542
talus,2.4276062681805386
wites,2.4275124331425353
mased,2.427324763066529
seams,2.4271370929905225
coves,2.4269494229145163
doxes,2.426855587876513
metis,2.4265740827625035
rises,2.4265740827625035
ciels,2.426292577648494
farts,2.4260110725344846
malts,2.425354227268462
kenos,2.4243220418504268
moves,2.424228206812424
meins,2.424228206812424
benis,2.4234775265083983
